speed,tension,temperature,load,vibration,motor_current,acoustic,em_signal,damage_risk,failure_within_30d,damage_type,severity,health_grade,tension_speed_ratio,temp_load_ratio,vibration_current_ratio
5.38,88.3,41.17,1812.0,1.78,154.65,64.92,0.28,17.7,0,none,low,B,16.42,22.72,1.15
5.42,90.81,32.67,1864.0,1.92,174.34,57.07,0.23,7.28,0,none,low,A,16.74,17.53,1.1
3.35,77.3,36.06,2412.0,4.93,165.97,56.83,0.278,1.16,0,none,low,A,23.08,14.95,2.97
3.43,71.63,48.88,3431.0,5.04,174.37,47.25,0.305,11.0,0,none,low,B,20.9,14.24,2.89
4.24,70.86,48.01,2018.0,4.31,174.94,56.96,0.264,4.62,0,none,low,A,16.72,23.79,2.47
2.85,126.84,74.95,1906.0,9.8,263.72,75.9,0.663,74.77,1,tear,critical,F,44.53,39.32,3.71
1.19,108.89,64.13,819.0,12.81,277.64,80.87,0.507,67.56,1,splice_failure,high,D,91.5,78.33,4.61
3.9,72.9,46.99,2747.0,2.65,155.08,52.15,0.198,18.24,0,none,low,B,18.71,17.11,1.71
5.22,81.81,30.63,2926.0,4.8,194.9,62.73,0.248,13.07,0,none,low,B,15.68,10.47,2.46
3.06,72.7,28.69,2773.0,2.57,190.69,65.87,0.175,10.26,0,none,low,B,23.73,10.35,1.35
2.65,93.69,48.22,3859.0,9.04,238.0,75.69,0.541,31.53,1,splice_wear,medium,C,35.3,12.5,3.8
1.3,103.3,65.7,1313.0,16.36,310.25,75.14,0.755,75.86,1,splice_failure,critical,F,79.77,50.05,5.27
3.42,75.47,40.28,2308.0,1.32,170.31,50.68,0.309,17.81,0,none,low,B,22.06,17.45,0.78
5.49,76.67,49.49,2322.0,1.17,177.61,59.59,0.304,13.27,0,none,low,B,13.95,21.31,0.66
4.38,84.82,29.78,2239.0,2.21,214.25,55.82,0.395,9.97,0,none,low,A,19.35,13.3,1.03
0.88,115.25,77.4,1830.0,11.93,265.42,89.22,0.905,73.25,0,tear,high,F,131.44,42.29,4.5
5.34,73.44,35.5,1727.0,5.62,220.19,50.93,0.298,20.43,0,none,low,B,13.75,20.56,2.55
4.32,76.05,30.05,3294.0,5.5,200.65,52.8,0.205,18.15,0,none,low,B,17.59,9.12,2.74
